,termo dwc,Vocabulário Controlado,Definição/Definition/Definición,Exemplo/Example/Ejemplo
1,usedTo,Pt: Medicinal,"Pt: Táxon usado para produção de remédios caseiros e realização de práticas medicinais com o propósito de prevenir, tratar e curar doenças em humanos e animais, assim como aliviar os sintomas associados às doenças. ","Pt: Infusões, chás, pomadas, óleos essenciais, compressas, xaropes, tinturas, cataplasmas, inalações, banhos medicinais."
,,En: Medicinal,"En: Taxon used for the production of home remedies and the practice of medicinal techniques with the purpose of preventing, treating, and curing diseases in humans and animals, as well as alleviating symptoms associated with illnesses.","En: Infusions, teas, ointments, essential oils, compresses, syrups, tinctures, poultices, inhalations, medicinal baths."
,,Es: Medicinal,"Es: Taxón usado para la producción de remedios caseros y la realización de prácticas medicinales con el propósito de prevenir, tratar y curar enfermedades en humanos y animales, así como aliviar los síntomas asociados a las enfermedades.","Es: Infusiones, tés, ungüentos, aceites esenciales, compresas, jarabes, tinturas, cataplasmas, inhalaciones, baños medicinales."
2,usedTo,Pt: Alimentício,"Pt: Táxon usado para consumo alimentar direto ou como ingrediente para preparação de alimentos derivados, com o propósito de proporcionar segurança alimentar a humanos e animais.","Pt: Frutos, sementes, folhas, raízes, tubérculos, grãos, polpas, sucos, farinhas, óleos comestíveis."
,,En: Food,"En: Taxon used for direct food consumption or as an ingredient in the preparation of derived foods, with the purpose of providing food security for humans and animals.","En: Fruits, seeds, leaves, roots, tubers, grains, pulps, juices, flours, edible oils."
,,Es: Alimentario,"Es: Taxón usado para consumo alimenticio directo o como ingrediente en la preparación de alimentos derivados, con el propósito de proporcionar seguridad alimentaria a humanos y animales.","Es: Frutos, semillas, hojas, raíces, tubérculos, granos, pulpas, jugos, harinas, aceites comestibles."
3,usedTo,Pt: Tecnologia social,"Pt: Táxon usado para produzir materiais e desenvolver técnicas relacionadas à cultura e autogestão econômica da comunidade. Não inclui usos Combustível, Ambiental e Ornamental, que estão descritos em categorias separadas.","Pt: Artefatos, tinturas, tecidos, construção, cordas, redes de pesca, utensílios, filtros naturais, ferramentas artesanais."
,,En: Social technology,"En: Taxon used to produce materials and develop techniques related to the culture and economic self-management of the community. Does not include Fuel, Environmental, or Ornamental uses, which are described in separate categories.","En: Artifacts, dyes, textiles, construction, ropes, fishing nets, utensils, natural filters, handcrafted tools."
,,Es: Tecnología social,"Es: Taxón usado para producir materiales y desarrollar técnicas relacionadas con la cultura y la autogestión económica de la comunidad. No incluye los usos Combustible, Ambiental y Ornamental, que se describen en categorías separadas.","Es: Artefactos, tintes, tejidos, construcción, cuerdas, redes de pesca, utensilios, filtros naturales, herramientas artesanales."
4,usedTo,Pt: Combustível,"Pt: Táxon usado para gerar energia por meio da combustão, extração de bioenergia ou outros métodos.","Pt: Lenha, carvão, biocombustível, óleo vegetal, cascas secas, fibras combustíveis."
,,En: Fuel,"En: Taxon used to generate energy through combustion, bioenergy extraction, or other methods.","En: Firewood, charcoal, biofuel, vegetable oil, dry bark, combustible fibers."
,,Es: Combustible,"Es: Taxón utilizado para generar energía mediante combustión, extracción de bioenergía u otros métodos.","Es: Leña, carbón, biocombustible, aceite vegetal, cortezas secas, fibras combustibles."
5,usedTo,Pt: Ambiental,"Pt: Táxon usados para manter o equilíbrio dos ecossistemas, em atividades de reflorestamento, recuperação e remediação ambiental após impactos ecológicos. Foi separado de Tecnologia Social devido à sua importância para as comunidades.","Pt: Plantio para reflorestamento, estabilização de encostas, cobertura do solo, atratividade de polinizadores, sombra, controle de erosão, purificadores de água, bioindicadores."
